netID,score
holist,0.42264285714285676
random,0.37299999999999994
random,0.37321428571428594
synergist,0.554214285714286
synergist,0.5710000000000004
synergist,0.5742857142857145
usnews,0.3583571428571429
holist,0.4131428571428568
usnews,0.3627142857142857
usnews,0.3512857142857145
usnews,0.36107142857142865
usnews,0.4072857142857144
holist,0.4292142857142853
random,0.39178571428571457
periodt,0.5619285714285712
periodt,0.5687857142857147
periodt,0.5721428571428566
period,0.6035714285714291
period,0.6027857142857137
period,0.6025714285714284
holist,0.4244285714285713
holist,0.4213571428571429
holist,0.4393571428571425
holist,0.39442857142857146
period,0.5767142857142861
period,0.5760000000000006
period,0.5767142857142861
period,0.5982857142857149
